Entry	Reviewed	Gene Names	Organism (ID)	EC number	Gene Ontology (GO)
C4ZTP5	reviewed	pth BWG_1029	595496	3.1.1.29	cytoplasm [GO:0005737]; aminoacyl-tRNA hydrolase activity [GO:0004045]; translation [GO:0006412]
C4ZTQ0	reviewed	lolB BWG_1034	595496		cell outer membrane [GO:0009279]; lipoprotein localization to outer membrane [GO:0044874]; protein transport [GO:0015031]
C4ZTQ2	reviewed	prfA BWG_1036	595496		cytoplasm [GO:0005737]; translation release factor activity, codon specific [GO:0016149]
C4ZTQ6	reviewed	kdsA BWG_1040	595496	2.5.1.55	cytoplasm [GO:0005737]; 3-deoxy-8-phosphooctulonate synthase activity [GO:0008676]; keto-3-deoxy-D-manno-octulosonic acid biosynthetic process [GO:0019294]
C4ZTU1	reviewed	clsA cls BWG_1077	595496	2.7.8.-	plasma membrane [GO:0005886]; cardiolipin synthase activity [GO:0008808]; cardiolipin biosynthetic process [GO:0032049]
C4ZTU7	reviewed	yciB BWG_1083	595496		plasma membrane [GO:0005886]
C4ZTV3	reviewed	trpA BWG_1089	595496	4.2.1.20	tryptophan synthase activity [GO:0004834]
C4ZTY2	reviewed	rnb BWG_1118	595496	3.1.13.1	cytosol [GO:0005829]; exoribonuclease II activity [GO:0008859]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]
C4ZU09	reviewed	nfo BWG_1941	595496	3.1.21.2	deoxyribonuclease IV (phage-T4-induced) activity [GO:0008833]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]
C4ZU30	reviewed	rplY BWG_1961	595496		ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; 5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZU52	reviewed	eco BWG_1983	595496		periplasmic space [GO:0042597]; serine-type endopeptidase inhibitor activity [GO:0004867]
C4ZU53	reviewed	mqo BWG_1984	595496	1.1.5.4	malate dehydrogenase (menaquinone) activity [GO:0052589]; malate dehydrogenase (quinone) activity [GO:0008924]; tricarboxylic acid cycle [GO:0006099]
C4ZU83	reviewed	glpB BWG_2014	595496	1.1.5.3	glycerol-3-phosphate dehydrogenase (FAD) complex [GO:0009331]; glycerol-3-phosphate dehydrogenase (quinone) activity [GO:0004368]; glycerol catabolic process [GO:0019563]; glycerol-3-phosphate metabolic process [GO:0006072]
C4ZU94	reviewed	ais BWG_2025	595496	3.1.3.-	periplasmic space [GO:0042597]; phosphatase activity [GO:0016791]; lipopolysaccharide metabolic process [GO:0008653]
C4ZUA6	reviewed	menH BWG_2037	595496	4.2.99.20	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity [GO:0070205]; menaquinone biosynthetic process [GO:0009234]
C4ZUE1	reviewed	def BWG_2977	595496	3.5.1.88	metal ion binding [GO:0046872]; peptide deformylase activity [GO:0042586]; translation [GO:0006412]
C4ZUE2	reviewed	fmt BWG_2978	595496	2.1.2.9	cytosol [GO:0005829]; methionyl-tRNA formyltransferase activity [GO:0004479]
C4ZUE5	reviewed	mscL BWG_2981	595496		plasma membrane [GO:0005886]; mechanosensitive monoatomic ion channel activity [GO:0008381]
C4ZUE9	reviewed	rplQ BWG_2985	595496		cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUF1	reviewed	rpsD BWG_2987	595496		small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]
C4ZUF2	reviewed	rpsK BWG_2988	595496		cytosolic small ribosomal subunit [GO:0022627]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUF4	reviewed	rpmJ BWG_2990	595496		cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUF6	reviewed	rplO BWG_2992	595496		large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUF7	reviewed	rpmD BWG_2993	595496		cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUF9	reviewed	rplR BWG_2995	595496		cytosolic large ribosomal subunit [GO:0022625]; 5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUG0	reviewed	rplF BWG_2996	595496		cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]
C4ZUG1	reviewed	rpsH BWG_2997	595496		cytosolic small ribosomal subunit [GO:0022627]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUG3	reviewed	rplE BWG_2999	595496		cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
C4ZUG4	reviewed	rplX BWG_3000	595496		cytosol [GO:0005829]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUG5	reviewed	rplN BWG_3001	595496		cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUG6	reviewed	rpsQ BWG_3002	595496		cytosolic small ribosomal subunit [GO:0022627]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUG7	reviewed	rpmC BWG_3003	595496		cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUG8	reviewed	rplP BWG_3004	595496		cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
C4ZUG9	reviewed	rpsC BWG_3005	595496		cytosolic small ribosomal subunit [GO:0022627]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUH0	reviewed	rplV BWG_3006	595496		cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUH1	reviewed	rpsS BWG_3007	595496		cytosolic small ribosomal subunit [GO:0022627]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]
C4ZUH2	reviewed	rplB BWG_3008	595496		cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; transferase activity [GO:0016740]; cytoplasmic translation [GO:0002181]
C4ZUH4	reviewed	rplD BWG_3010	595496		ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUH5	reviewed	rplC BWG_3011	595496		cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZUH6	reviewed	rpsJ BWG_3012	595496		ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
C4ZUJ5	reviewed	fusA BWG_3031	595496		cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; guanosine tetraphosphate binding [GO:0097216]; translation elongation factor activity [GO:0003746]
C4ZUJ6	reviewed	rpsG BWG_3032	595496		cytosolic small ribosomal subunit [GO:0022627]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]
C4ZUJ7	reviewed	rpsL BWG_3033	595496		small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
C4ZUJ8	reviewed	tusB BWG_3034	595496		cytoplasm [GO:0005737]; tRNA wobble position uridine thiolation [GO:0002143]
C4ZUJ9	reviewed	tusC BWG_3035	595496		cytoplasm [GO:0005737]; tRNA processing [GO:0008033]
C4ZUK0	reviewed	tusD BWG_3036	595496	2.8.1.-	cytoplasm [GO:0005737]; sulfurtransferase activity [GO:0016783]; tRNA processing [GO:0008033]
C4ZUK6	reviewed	kefB BWG_3042	595496		plasma membrane [GO:0005886]; antiporter activity [GO:0015297]; glutathione-regulated potassium exporter activity [GO:0015503]; proton transmembrane transport [GO:1902600]
C4ZUM0	reviewed	tsgA BWG_3056	595496		plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]
C4ZUQ6	reviewed	hslO BWG_3092	595496		cytoplasm [GO:0005737]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
C4ZUR5	reviewed	feoC BWG_3101	595496		DNA binding [GO:0003677]; iron ion binding [GO:0005506]; iron-sulfur cluster binding [GO:0051536]
C4ZUS3	reviewed	apt BWG_0350	595496	2.4.2.7	cytoplasm [GO:0005737]; adenine phosphoribosyltransferase activity [GO:0003999]; adenine salvage [GO:0006168]; AMP salvage [GO:0044209]; purine ribonucleoside salvage [GO:0006166]
C4ZUS5	reviewed	ybaB BWG_0352	595496		bacterial nucleoid [GO:0043590]; cytosol [GO:0005829]; DNA binding [GO:0003677]
C4ZUS6	reviewed	recR BWG_0353	595496		DNA binding [GO:0003677]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]
C4ZUT0	reviewed	aes BWG_0357	595496	3.1.1.-	cytoplasm [GO:0005737]; acetylesterase activity [GO:0008126]; lipase activity [GO:0016298]
C4ZUV5	reviewed	allA BWG_0382	595496	4.3.2.3	ureidoglycolate hydrolase activity [GO:0004848]; ureidoglycolate lyase activity [GO:0050385]; allantoin catabolic process [GO:0000256]; purine nucleobase catabolic process [GO:0006145]
C4ZUX4	reviewed	cysS BWG_0401	595496	6.1.1.16	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]; zinc ion binding [GO:0008270]; cysteinyl-tRNA aminoacylation [GO:0006423]
C4ZV25	reviewed	ybdK BWG_0452	595496	6.3.2.2	ATP binding [GO:0005524]; glutamate-cysteine ligase activity [GO:0004357]; cellular modified amino acid biosynthetic process [GO:0042398]
C4ZV37	reviewed	entS BWG_0464	595496		plasma membrane [GO:0005886]; enterobactin transmembrane transporter activity [GO:0042931]
C4ZV90	reviewed	zntB BWG_1176	595496		plasma membrane [GO:0005886]; zinc ion transmembrane transporter activity [GO:0005385]
C4ZVG4	reviewed	mdoD opgD BWG_1250	595496		periplasmic space [GO:0042597]; carbohydrate binding [GO:0030246]; catalytic activity [GO:0003824]; glucan biosynthetic process [GO:0009250]
C4ZVQ3	reviewed	dsdA BWG_2134	595496	4.3.1.18	D-serine ammonia-lyase activity [GO:0008721]; hydro-lyase activity [GO:0016836]; pyridoxal phosphate binding [GO:0030170]; D-amino acid metabolic process [GO:0046416]
C4ZVR1	reviewed	frc BWG_2142	595496	2.8.3.16	formyl-CoA transferase activity [GO:0033608]; oxalate catabolic process [GO:0033611]
C4ZVS5	reviewed	glk BWG_2156	595496	2.7.1.2	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; D-glucose binding [GO:0005536]; glucokinase activity [GO:0004340]; glycolytic process [GO:0006096]
C4ZVS6	reviewed	yfeO BWG_2157	595496		plasma membrane [GO:0005886]; voltage-gated chloride channel activity [GO:0005247]
C4ZVS8	reviewed	mntH BWG_2159	595496		plasma membrane [GO:0005886]; cadmium ion transmembrane transporter activity [GO:0015086]; manganese ion transmembrane transporter activity [GO:0005384]; metal ion binding [GO:0046872]; symporter activity [GO:0015293]; cellular response to iron ion [GO:0071281]
C4ZVU3	reviewed	zipA BWG_2174	595496		cell division site [GO:0032153]; plasma membrane [GO:0005886]; cell septum assembly [GO:0090529]; FtsZ-dependent cytokinesis [GO:0043093]
C4ZVU4	reviewed	cysZ BWG_2175	595496		plasma membrane [GO:0005886]; sulfate transmembrane transporter activity [GO:0015116]; cysteine biosynthetic process [GO:0019344]; sulfate assimilation [GO:0000103]
C4ZVW3	reviewed	nfuA BWG_3105	595496		4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; iron-sulfur cluster assembly [GO:0016226]; protein maturation by iron-sulfur cluster transfer [GO:0097428]
C4ZVX1	reviewed	rtcA BWG_3113	595496	6.5.1.4	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; RNA-3'-phosphate cyclase activity [GO:0003963]; RNA processing [GO:0006396]
C4ZVX5	reviewed	glpG BWG_3117	595496	3.4.21.105	plasma membrane [GO:0005886]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]
C4ZVX6	reviewed	glpE BWG_3118	595496	2.8.1.1	cytoplasm [GO:0005737]; thiosulfate sulfurtransferase activity [GO:0004792]; glycerol metabolic process [GO:0006071]
C4ZVX9	reviewed	glgA BWG_3121	595496	2.4.1.21	alpha-1,4-glucan synthase activity [GO:0033201]; glycogen (starch) synthase activity [GO:0004373]; starch synthase activity [GO:0009011]; glycogen biosynthetic process [GO:0005978]
C4ZW19	reviewed	tusA BWG_3161	595496		cytoplasm [GO:0005737]; sulfur carrier activity [GO:0097163]; tRNA wobble position uridine thiolation [GO:0002143]
C4ZW30	reviewed	nikR BWG_3172	595496		DNA-binding transcription factor activity [GO:0003700]; nickel cation binding [GO:0016151]; sequence-specific DNA binding [GO:0043565]; response to nickel cation [GO:0010045]
C4ZW44	reviewed	rsmJ yhiQ BWG_3186	595496	2.1.1.242	cytoplasm [GO:0005737]; rRNA (guanine-N2-)-methyltransferase activity [GO:0008990]
C4ZW75	reviewed	dctA BWG_3217	595496		plasma membrane [GO:0005886]; symporter activity [GO:0015293]; dicarboxylic acid transport [GO:0006835]
C4ZWA2	reviewed	citG BWG_0486	595496	2.4.2.52	ATP binding [GO:0005524]; triphosphoribosyl-dephospho-CoA synthase activity [GO:0046917]
C4ZWA3	reviewed	citX BWG_0487	595496	2.7.7.61	holo-citrate lyase synthase activity [GO:0050519]; prosthetic group biosynthetic process [GO:0051191]
C4ZWA6	reviewed	citD BWG_0490	595496		cytoplasm [GO:0005737]
C4ZWB3	reviewed	fluC crcB BWG_0497	595496		plasma membrane [GO:0005886]; fluoride channel activity [GO:0062054]; metal ion binding [GO:0046872]; cellular detoxification of fluoride [GO:0140114]
C4ZWC3	reviewed	rlmH BWG_0507	595496	2.1.1.177	cytoplasm [GO:0005737]; rRNA (pseudouridine-N3-)-methyltransferase activity [GO:0070038]
C4ZWC8	reviewed	lptE rlpB BWG_0512	595496		cell outer membrane [GO:0009279]; Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]
C4ZWC9	reviewed	leuS BWG_0513	595496	6.1.1.4	cytoplasm [GO:0005737]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; leucine-tRNA ligase activity [GO:0004823]; leucyl-tRNA aminoacylation [GO:0006429]
C4ZWD8	reviewed	rihA BWG_0522	595496	3.2.-.-	uridine nucleosidase activity [GO:0045437]; nucleobase-containing small molecule interconversion [GO:0015949]; pyrimidine nucleobase metabolic process [GO:0006206]
C4ZWE6	reviewed	ybeY BWG_0530	595496	3.1.-.-	cytoplasm [GO:0005737]; metalloendopeptidase activity [GO:0004222]; RNA endonuclease activity [GO:0004521]; zinc ion binding [GO:0008270]; rRNA processing [GO:0006364]
C4ZWH2	reviewed	kdpC BWG_0556	595496		plasma membrane [GO:0005886]; ATP binding [GO:0005524]; P-type potassium transmembrane transporter activity [GO:0008556]
C4ZWH4	reviewed	kdpA BWG_0558	595496		plasma membrane [GO:0005886]; P-type potassium transmembrane transporter activity [GO:0008556]; potassium ion binding [GO:0030955]
C4ZWI8	reviewed	pxpA BWG_0572	595496	3.5.2.9	5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168]; ATP binding [GO:0005524]; carbohydrate metabolic process [GO:0005975]
C4ZWL5	reviewed	tolB BWG_0599	595496		periplasmic space [GO:0042597]; cell division [GO:0051301]; protein import [GO:0017038]
C4ZWN2	reviewed	pptA BWG_1284	595496	5.3.2.-	cytoplasm [GO:0005737]; intramolecular oxidoreductase activity, interconverting keto- and enol-groups [GO:0016862]
C4ZWT6	reviewed	tam BWG_1338	595496	2.1.1.144	cytoplasm [GO:0005737]; trans-aconitate 2-methyltransferase activity [GO:0030798]; methylation [GO:0032259]
C4ZWT8	reviewed	uxaB BWG_1340	595496	1.1.1.58	tagaturonate reductase activity [GO:0009026]
C4ZWU5	reviewed	sotB BWG_1347	595496		plasma membrane [GO:0005886]; carbohydrate transmembrane transporter activity [GO:0015144]
C4ZWZ4	reviewed	ynfA BWG_1396	595496		plasma membrane [GO:0005886]
C4ZWZ7	reviewed	ynfC BWG_1399	595496		plasma membrane [GO:0005886]
C4ZX47	reviewed	ypfN BWG_2236	595496		plasma membrane [GO:0005886]
C4ZX51	reviewed	purC BWG_2240	595496	6.3.2.6	cytosol [GO:0005829]; ATP binding [GO:0005524]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]; 'de novo' IMP biosynthetic process [GO:0006189]; cobalamin biosynthetic process [GO:0009236]
C4ZX71	reviewed	hda BWG_2260	595496		DNA replication initiation [GO:0006270]; negative regulation of DNA-templated DNA replication initiation [GO:0032297]
C4ZX74	reviewed	purM BWG_2263	595496	6.3.3.1	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]; 'de novo' IMP biosynthetic process [GO:0006189]
C4ZX84	reviewed	xseA BWG_2273	595496	3.1.11.6	cytoplasm [GO:0005737]; exodeoxyribonuclease VII complex [GO:0009318]; exodeoxyribonuclease VII activity [GO:0008855]; nucleic acid binding [GO:0003676]; DNA catabolic process [GO:0006308]
C4ZX86	reviewed	der engA BWG_2275	595496		GTP binding [GO:0005525]; ribosome binding [GO:0043022]; ribosomal large subunit assembly [GO:0000027]
C4ZX89	reviewed	hisS BWG_2278	595496	6.1.1.21	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; histidine-tRNA ligase activity [GO:0004821]; histidyl-tRNA aminoacylation [GO:0006427]
C4ZXA1	reviewed	hscA BWG_2290	595496		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]; iron-sulfur cluster assembly [GO:0016226]
C4ZXA2	reviewed	hscB BWG_2291	595496		ATPase activator activity [GO:0001671]; protein-folding chaperone binding [GO:0051087]; [2Fe-2S] cluster assembly [GO:0044571]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]
C4ZXA3	reviewed	iscA BWG_2292	595496		cytosol [GO:0005829]; 2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; iron-sulfur cluster assembly [GO:0016226]; protein maturation by iron-sulfur cluster transfer [GO:0097428]
C4ZXA6	reviewed	iscR BWG_2295	595496		cytosol [GO:0005829]; 2 iron, 2 sulfur cluster binding [GO:0051537]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; iron ion binding [GO:0005506]
C4ZXB4	reviewed	hcaF BWG_2303	595496	1.14.12.19	3-phenylpropionate dioxygenase activity [GO:0008695]; 3-phenylpropionate catabolic process [GO:0019380]
C4ZXB7	reviewed	hcaD BWG_2306	595496	1.18.1.3	3-phenylpropionate dioxygenase activity [GO:0008695]; ferredoxin-NAD+ reductase activity [GO:0008860]; 3-phenylpropionate catabolic process [GO:0019380]
C4ZXE9	reviewed	glyS BWG_3248	595496	6.1.1.14	cytoplasm [GO:0005737]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; arginyl-tRNA aminoacylation [GO:0006420]; glycyl-tRNA aminoacylation [GO:0006426]
C4ZXF0	reviewed	glyQ BWG_3249	595496	6.1.1.14	cytosol [GO:0005829]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; glycyl-tRNA aminoacylation [GO:0006426]
C4ZXF6	reviewed	xylA BWG_3255	595496	5.3.1.5	cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; xylose isomerase activity [GO:0009045]; D-xylose metabolic process [GO:0042732]
C4ZXJ1	reviewed	mtlD BWG_3290	595496	1.1.1.17	mannitol-1-phosphate 5-dehydrogenase activity [GO:0008926]; mannitol metabolic process [GO:0019594]
C4ZXK1	reviewed	secB BWG_3300	595496		cytoplasm [GO:0005737]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein tetramerization [GO:0051262]; protein transport [GO:0015031]
C4ZXM8	reviewed	rpmG BWG_3327	595496		cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZXM9	reviewed	rpmB BWG_3328	595496		cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZXN0	reviewed	yicR BWG_3329	595496		metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; proteolysis [GO:0006508]
C4ZXN4	reviewed	pyrE BWG_3333	595496	2.4.2.10	magnesium ion binding [GO:0000287]; orotate phosphoribosyltransferase activity [GO:0004588]; 'de novo' UMP biosynthetic process [GO:0044205]
C4ZXN9	reviewed	ligB BWG_3338	595496	6.5.1.2	DNA ligase (NAD+) activity [GO:0003911]; DNA repair [GO:0006281]; DNA replication [GO:0006260]
C4ZXP1	reviewed	rpoZ BWG_3340	595496	2.7.7.6	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; DNA-templated transcription [GO:0006351]
C4ZXQ4	reviewed	nepI BWG_3353	595496		plasma membrane [GO:0005886]; antiporter activity [GO:0015297]; purine nucleoside transmembrane transporter activity [GO:0015211]
C4ZXQ7	reviewed	ade BWG_3356	595496	3.5.4.2	adenine deaminase activity [GO:0000034]; adenine catabolic process [GO:0006146]
C4ZXS1	reviewed	nadA BWG_0602	595496	2.5.1.72	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; quinolinate synthetase A activity [GO:0008987]; NAD biosynthetic process [GO:0009435]
C4ZXT8	reviewed	pgl BWG_0619	595496	3.1.1.31	6-phosphogluconolactonase activity [GO:0017057]; glucose metabolic process [GO:0006006]; pentose-phosphate shunt, oxidative branch [GO:0009051]
C4ZXV5	reviewed	moaC BWG_0636	595496	4.6.1.17	cyclic pyranopterin monophosphate synthase activity [GO:0061799]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
C4ZXW7	reviewed	ybhG BWG_0648	595496		periplasmic space [GO:0042597]
C4ZXX6	reviewed	ybiX BWG_0657	595496	1.14.11.-	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]
C4ZXX9	reviewed	rlmF BWG_0660	595496	2.1.1.181	cytoplasm [GO:0005737]; 23S rRNA (adenine(1618)-N(6))-methyltransferase activity [GO:0052907]
C4ZY19	reviewed	ybjL BWG_0700	595496		plasma membrane [GO:0005886]; monoatomic cation transmembrane transporter activity [GO:0008324]; potassium ion transport [GO:0006813]
C4ZY31	reviewed	rlmC rumB BWG_0712	595496	2.1.1.189	4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; rRNA (uridine-C5-)-methyltransferase activity [GO:0070041]
C4ZY53	reviewed	clpS BWG_0734	595496		protein catabolic process [GO:0030163]; proteolysis [GO:0006508]
C4ZY54	reviewed	clcB BWG_1406	595496		chloride channel complex [GO:0034707]; plasma membrane [GO:0005886]; voltage-gated chloride channel activity [GO:0005247]; response to acidic pH [GO:0010447]
C4ZY59	reviewed	asr BWG_1411	595496		periplasmic space [GO:0042597]
C4ZY62	reviewed	mdtI BWG_1414	595496		plasma membrane [GO:0005886]; spermidine transmembrane transporter activity [GO:0015606]
C4ZY63	reviewed	mdtJ BWG_1415	595496		plasma membrane [GO:0005886]; amino-acid betaine transmembrane transporter activity [GO:0015199]; antiporter activity [GO:0015297]; choline transmembrane transporter activity [GO:0015220]; spermidine transmembrane transporter activity [GO:0015606]; glycine betaine transport [GO:0031460]
C4ZY73	reviewed	tus BWG_1425	595496		cytoplasm [GO:0005737]; DNA binding [GO:0003677]; DNA replication termination [GO:0006274]
C4ZY90	reviewed	rsxA BWG_1442	595496	7.-.-.-	plasma membrane [GO:0005886]; electron transport chain [GO:0022900]
C4ZY93	reviewed	rsxD BWG_1445	595496	7.-.-.-	plasma membrane [GO:0005886]; electron transport chain [GO:0022900]; transmembrane transport [GO:0055085]
C4ZY95	reviewed	rsxE BWG_1447	595496	7.-.-.-	plasma membrane [GO:0005886]; electron transport chain [GO:0022900]
C4ZYA5	reviewed	slyA BWG_1457	595496		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
C4ZYC2	reviewed	purR BWG_1474	595496		DNA binding [GO:0003677]; negative regulation of DNA-templated transcription [GO:0045892]; purine nucleotide biosynthetic process [GO:0006164]
C4ZYC7	reviewed	mdtK BWG_1479	595496		plasma membrane [GO:0005886]; antiporter activity [GO:0015297]; xenobiotic transmembrane transporter activity [GO:0042910]; sodium ion transport [GO:0006814]; xenobiotic transmembrane transport [GO:0006855]
C4ZYE1	reviewed	sufE BWG_1493	595496		cytoplasm [GO:0005737]; iron-sulfur cluster assembly [GO:0016226]; sulfur compound metabolic process [GO:0006790]
C4ZYH3	reviewed	btuC BWG_1525	595496		plasma membrane [GO:0005886]; vitamin transmembrane transporter activity [GO:0090482]; cobalamin transport [GO:0015889]
C4ZYH4	reviewed	ihfA himA BWG_1526	595496		cytosol [GO:0005829]; DNA binding [GO:0003677]; structural constituent of chromatin [GO:0030527]; DNA recombination [GO:0006310]; regulation of DNA-templated transcription [GO:0006355]; regulation of translation [GO:0006417]
C4ZYH8	reviewed	rplT BWG_1530	595496		cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]
C4ZYH9	reviewed	rpmI BWG_1531	595496		cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
C4ZYI0	reviewed	infC BWG_1532	595496		cytosol [GO:0005829]; membrane [GO:0016020]; ribosome binding [GO:0043022]; translation initiation factor activity [GO:0003743]; ribosome disassembly [GO:0032790]
C4ZYI6	reviewed	acpS BWG_2327	595496	2.7.8.7	cytoplasm [GO:0005737]; holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]; fatty acid biosynthetic process [GO:0006633]
C4ZYJ8	reviewed	yfiC BWG_2339	595496	2.1.1.223	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]; tRNA (adenine-N6)-methyltransferase activity [GO:0016430]; methylation [GO:0032259]; tRNA processing [GO:0008033]
C4ZYK2	reviewed	grcA BWG_2343	595496		catalytic activity [GO:0003824]
C4ZYK3	reviewed	ung BWG_2344	595496	3.2.2.27	cytoplasm [GO:0005737]; uracil DNA N-glycosylase activity [GO:0004844]; base-excision repair [GO:0006284]
